origin,destination,month,avg_route_month_delay
ABY,ATL,10,-7.827586206896552
ABY,ATL,11,-8.142857142857142
ABY,ATL,12,-11.8
ACK,BOS,5,-5.0
ACK,BOS,6,19.642857142857142
ACK,BOS,7,11.038461538461538
ACK,BOS,8,28.40909090909091
ACK,BOS,9,-13.555555555555555
ACK,BOS,10,15.857142857142858
ACK,CLT,7,73.0
ACK,CLT,8,-10.0
ACK,DCA,5,-16.166666666666668
ACK,DCA,6,-4.2727272727272725
ACK,DCA,7,15.451612903225806
ACK,DCA,8,8.454545454545455
ACK,DCA,9,7.4
ACK,DCA,10,34.4
ACK,EWR,7,78.0
ACK,EWR,8,8.5
ACK,EWR,9,50.0
ACK,EWR,10,79.5
ACK,HPN,5,73.0
ACK,HPN,6,-11.0
ACK,HPN,7,-2.4444444444444446
ACK,HPN,8,-17.8
ACK,HPN,9,-3.1666666666666665
ACK,HPN,10,171.0
ACK,JFK,5,-4.333333333333333
ACK,JFK,6,10.090909090909092
ACK,JFK,7,22.25531914893617
ACK,JFK,8,4.489795918367347
ACK,JFK,9,24.789473684210527
ACK,JFK,10,-11.833333333333334
ACK,LGA,5,10.75
ACK,LGA,6,84.74074074074075
ACK,LGA,7,31.304347826086957
ACK,LGA,8,30.63157894736842
ACK,LGA,9,15.428571428571429
ACK,LGA,10,1.3333333333333333
ACK,ORD,7,30.0
ACK,ORD,8,10.5
ACK,ORD,9,-8.5
ACK,PHL,6,13.75
ACK,PHL,7,-7.0
ACK,PHL,8,-3.5
ACK,PHL,9,-11.5
ACT,DFW,1,8.442857142857143
ACT,DFW,2,-3.6
ACT,DFW,3,2.75
ACT,DFW,4,24.741935483870968
ACT,DFW,5,-1.9705882352941178
ACT,DFW,6,12.94915254237288
ACT,DFW,7,28.3015873015873
ACT,DFW,8,4.814285714285714
ACT,DFW,9,-9.545454545454545
ACT,DFW,10,5.264150943396227
ACT,DFW,11,3.627450980392157
ACT,DFW,12,2.3658536585365852
ACV,DEN,1,5.0
ACV,DEN,2,-13.875
ACV,DEN,3,162.25
ACV,DEN,4,-11.333333333333334
ACV,DEN,5,12.857142857142858
ACV,DEN,6,11.11111111111111
ACV,DEN,7,36.63636363636363
ACV,DEN,8,8.818181818181818
ACV,DEN,9,42.375
ACV,DEN,10,3.0
ACV,DEN,11,37.3
ACV,DEN,12,-4.75
ACV,LAX,1,4.133333333333334
ACV,LAX,2,-10.6
ACV,LAX,3,-8.0
ACV,LAX,4,-3.5
ACV,LAX,5,-12.923076923076923
ACV,LAX,6,15.4
ACV,LAX,7,3.380952380952381
ACV,LAX,8,0.13636363636363635
ACV,LAX,9,-11.15
ACV,LAX,10,-5.571428571428571
ACV,LAX,11,-10.75
ACV,LAX,12,41.96153846153846
ACV,PHX,1,-11.2
ACV,PHX,2,-21.0
ACV,PHX,3,-1.6
ACV,PHX,4,44.0
ACV,PHX,5,-30.5
ACV,PHX,6,-14.444444444444445
ACV,PHX,7,-13.333333333333334
ACV,PHX,8,-14.142857142857142
ACV,PHX,9,18.0
ACV,PHX,10,-9.666666666666666
ACV,PHX,11,-18.666666666666668
ACV,PHX,12,12.8
ACV,SFO,1,23.115384615384617
ACV,SFO,2,4.264705882352941
ACV,SFO,3,21.24
ACV,SFO,4,-4.916666666666667
ACV,SFO,5,-7.1063829787234045
ACV,SFO,6,20.894736842105264
ACV,SFO,7,12.434782608695652
ACV,SFO,8,22.951219512195124
ACV,SFO,9,6.794871794871795
ACV,SFO,10,28.266666666666666
ACV,SFO,11,0.9411764705882353
ACV,SFO,12,30.0
ACY,ATL,4,-8.0
ACY,ATL,5,0.0
ACY,ATL,6,-8.625
ACY,ATL,7,-3.7
ACY,ATL,8,0.7
ACY,ATL,9,-16.0
ACY,ATL,10,61.0
ACY,ATL,11,13.0
ACY,BOS,5,-24.0
ACY,BOS,7,72.66666666666667
ACY,BOS,8,-30.0
ACY,FLL,1,-10.333333333333334
ACY,FLL,2,-1.5333333333333334
ACY,FLL,3,-2.1052631578947367
ACY,FLL,4,11.142857142857142
ACY,FLL,5,2.7
ACY,FLL,6,8.714285714285714
ACY,FLL,7,6.777777777777778
ACY,FLL,8,15.636363636363637
ACY,FLL,9,-16.4375
ACY,FLL,10,6.0
ACY,FLL,11,-2.3333333333333335
ACY,FLL,12,-4.454545454545454
ACY,MCO,1,-3.260869565217391
ACY,MCO,2,-2.92
ACY,MCO,3,-4.5
ACY,MCO,4,20.178571428571427
ACY,MCO,5,-4.823529411764706
ACY,MCO,6,10.033333333333333
ACY,MCO,7,40.65625
ACY,MCO,8,12.594594594594595
ACY,MCO,9,4.809523809523809
ACY,MCO,10,-9.875
ACY,MCO,11,1.6956521739130435
ACY,MCO,12,22.818181818181817
ACY,MIA,1,16.0
ACY,MIA,2,-0.5
ACY,MIA,3,47.333333333333336
ACY,MIA,4,52.4
ACY,MIA,5,-12.2
ACY,MIA,6,42.0
ACY,MIA,7,-6.0
ACY,MIA,8,0.5
ACY,MIA,10,-19.0
ACY,MIA,11,-9.5
ACY,MIA,12,7.25
ACY,MYR,1,-8.555555555555555
ACY,MYR,2,4.428571428571429
ACY,MYR,3,-4.6923076923076925
ACY,MYR,4,-10.0
ACY,MYR,5,-5.076923076923077
ACY,MYR,6,11.625
ACY,MYR,7,-5.916666666666667
ACY,MYR,8,-5.0
ACY,MYR,9,-10.272727272727273
ACY,MYR,10,-7.8
ACY,MYR,11,13.076923076923077
ACY,MYR,12,5.625
ACY,PBI,1,-10.466666666666667
ACY,PBI,2,-7.125
ACY,PBI,3,17.733333333333334
ACY,PBI,4,18.866666666666667
ACY,PBI,5,14.1
ACY,PBI,6,-4.714285714285714
ACY,PBI,7,2.8
ACY,PBI,8,-12.5
ACY,PBI,9,-25.0
ACY,PBI,10,-1.5
ACY,PBI,11,-14.222222222222221
ACY,PBI,12,3.2
ACY,RSW,1,4.0625
ACY,RSW,2,-6.666666666666667
ACY,RSW,3,-9.807692307692308
ACY,RSW,4,-4.25
ACY,RSW,5,-8.857142857142858
ACY,RSW,6,5.0
ACY,RSW,7,-11.882352941176471
ACY,RSW,8,-7.0
ACY,RSW,9,-8.384615384615385
ACY,RSW,10,-8.090909090909092
ACY,RSW,11,10.31578947368421
ACY,RSW,12,-3.103448275862069
ACY,SJU,2,-18.0
ACY,SJU,3,79.5
ACY,SJU,5,-2.0
ACY,SJU,6,-45.0
ACY,SJU,7,-28.0
ACY,SJU,11,-24.0
ACY,SJU,12,-32.5
ACY,TPA,1,-13.0
ACY,TPA,2,-4.846153846153846
ACY,TPA,3,-5.533333333333333
ACY,TPA,4,0.4782608695652174
ACY,TPA,5,12.272727272727273
ACY,TPA,6,-2.25
ACY,TPA,7,11.8125
ACY,TPA,8,-1.1333333333333333
ACY,TPA,9,-10.166666666666666
ACY,TPA,10,-1.5
ACY,TPA,11,-3.923076923076923
ACY,TPA,12,-10.875
ADK,ANC,1,10.5
ADK,ANC,3,25.6
ADK,ANC,4,-25.0
ADK,ANC,5,-10.8
ADK,ANC,6,-19.2
ADK,ANC,7,-9.5
ADK,ANC,8,25.0
ADK,ANC,9,-21.0
ADK,ANC,10,47.0
ADK,ANC,11,15.25
ADK,ANC,12,71.5
ADK,CDB,4,-23.0
ADK,CDB,5,-32.0
ADK,CDB,6,-5.0
ADK,CDB,7,42.0
ADK,CDB,9,37.0
ADK,CDB,12,61.0
ADQ,ANC,1,0.3448275862068966
ADQ,ANC,2,1.75
ADQ,ANC,3,-4.17948717948718
ADQ,ANC,4,-10.678571428571429
ADQ,ANC,5,-3.942857142857143
ADQ,ANC,6,-8.897435897435898
ADQ,ANC,7,-1.3243243243243243
ADQ,ANC,8,7.1020408163265305
ADQ,ANC,9,1.9090909090909092
ADQ,ANC,10,5.714285714285714
ADQ,ANC,11,13.24
ADQ,ANC,12,3.2941176470588234
AEX,ATL,1,-7.780487804878049
AEX,ATL,2,10.675675675675675
AEX,ATL,3,-8.177777777777777
AEX,ATL,4,-8.977272727272727
AEX,ATL,5,-6.0
AEX,ATL,6,-4.613636363636363
AEX,ATL,7,16.288888888888888
AEX,ATL,8,-5.204545454545454
AEX,ATL,9,-6.714285714285714
AEX,ATL,10,-7.5588235294117645
AEX,ATL,11,-3.085714285714286
AEX,ATL,12,-1.0
AEX,CLT,1,-4.0
AEX,CLT,3,-3.1666666666666665
AEX,CLT,4,-15.8
AEX,CLT,5,-15.333333333333334
AEX,CLT,7,-11.666666666666666
AEX,CLT,8,-21.0
AEX,CLT,9,-21.2
AEX,CLT,10,-9.666666666666666
AEX,CLT,11,-10.333333333333334
AEX,CLT,12,-15.666666666666666
AEX,DFW,1,2.08
AEX,DFW,2,9.72340425531915
AEX,DFW,3,-6.688888888888889
AEX,DFW,4,5.552631578947368
AEX,DFW,5,7.256410256410256
AEX,DFW,6,21.591836734693878
AEX,DFW,7,17.711111111111112
AEX,DFW,8,9.298245614035087
AEX,DFW,9,14.21875
AEX,DFW,10,9.5
AEX,DFW,11,-1.1470588235294117
AEX,DFW,12,0.4864864864864865
AEX,IAH,1,17.923076923076923
AEX,IAH,2,-15.4375
AEX,IAH,3,-10.928571428571429
AEX,IAH,4,14.0625
AEX,IAH,5,-3.9523809523809526
AEX,IAH,6,1.8888888888888888
AEX,IAH,7,13.727272727272727
AEX,IAH,8,1.3571428571428572
AEX,IAH,9,17.4
AEX,IAH,10,14.25
AEX,IAH,11,-13.7
AEX,IAH,12,-14.0
AGS,ATL,1,-8.483516483516484
AGS,ATL,2,-0.425531914893617
AGS,ATL,3,1.3277310924369747
AGS,ATL,4,-5.531914893617022
AGS,ATL,5,-4.360824742268041
AGS,ATL,6,-3.108433734939759
AGS,ATL,7,2.277227722772277
AGS,ATL,8,-1.2241379310344827
AGS,ATL,9,-8.186274509803921
AGS,ATL,10,2.8266666666666667
AGS,ATL,11,-6.71830985915493
AGS,ATL,12,-7.333333333333333
AGS,AUS,4,-19.0
AGS,BOS,4,-11.0
AGS,CLT,1,11.75609756097561
AGS,CLT,2,6.175
AGS,CLT,3,19.574074074074073
AGS,CLT,4,8.044444444444444
AGS,CLT,5,9.2
AGS,CLT,6,12.458333333333334
AGS,CLT,7,11.538461538461538
AGS,CLT,8,17.517241379310345
AGS,CLT,9,-0.7631578947368421
AGS,CLT,10,2.870967741935484
AGS,CLT,11,0.7878787878787878
AGS,CLT,12,23.3
AGS,DCA,1,40.0
AGS,DCA,2,15.25
AGS,DCA,3,-0.875
AGS,DCA,4,14.071428571428571
AGS,DCA,5,14.1
AGS,DCA,6,10.727272727272727
AGS,DCA,7,86.5
AGS,DCA,8,26.363636363636363
AGS,DCA,9,-6.111111111111111
AGS,DCA,10,0.5454545454545454
AGS,DCA,11,-11.625
AGS,DCA,12,-1.0
AGS,DFW,1,8.5625
AGS,DFW,2,-8.7
AGS,DFW,3,-1.3333333333333333
AGS,DFW,4,6.1
